"Wish List Sharing","Wishlist Sharing",module,Magento_Wishlist
"My Wish List","Wishlist",module,Magento_Wishlist
"s has been added to your Wish List. Click here to continue shopping.","s has been added to your Wishlist. Click here to continue shopping",module,Magento_Wishlist
"My Account","My Dashboard",module,Magento_Customer
